id_producto,nombre,precio,numero_cajas,categoria
667,IVAR,450400,2,dormitorio
668,HAVSTA,64000,1,dormitorio
669,ALGOT,185280,4,dormitorio
67,MALM,736000,1,dormitorio
670,BILLSBRO,36000,2,dormitorio
671,KALLAX,716000,5,dormitorio
672,BJÄRRED,39200,2,dormitorio
673,SVALNÄS,1464000,3,dormitorio
674,IVAR,868000,5,dormitorio
675,ALGOT,187200,1,dormitorio
676,BILLSBRO,55200,1,dormitorio
677,EKET,974400,3,dormitorio
678,BILLY / BOTTNA,252000,3,dormitorio
679,UPPLEVA,159200,5,dormitorio
68,SNIGLAR,156000,2,dormitorio
680,BROR,1720000,2,dormitorio
681,EKET,528800,2,dormitorio
682,VITTSJÖ,556000,5,dormitorio
683,ALGOT,422560,4,dormitorio
684,BILLSBRO,39200,1,dormitorio
685,UPPLEVA,116000,5,dormitorio
686,ALGOT,379360,5,dormitorio
687,GALANT,556000,1,dormitorio
688,SVALNÄS,1472000,5,dormitorio
689,ALGOT,381600,1,dormitorio
69,LAUVIK,1383200,3,dormitorio
690,IVAR,398400,4,dormitorio
691,HANVIKEN,40000,4,dormitorio
692,HAVSTA,2384000,4,dormitorio
693,BROR,1068000,4,dormitorio
694,ALGOT,307040,2,dormitorio
695,VASSVIKEN,80000,4,dormitorio
696,EKET,782400,4,dormitorio
697,KALLRÖR,20000,5,dormitorio
698,BILLSBRO,12000,5,dormitorio
699,IVAR,702400,2,dormitorio
7,DALFRED,156000,4,living
70,BRIMNES,460000,3,dormitorio
700,BAGGANÄS,40000,1,dormitorio
701,BROR,1068000,4,dormitorio
702,BILLY,16000,4,dormitorio
703,SINDVIK,120000,4,dormitorio
704,MÖLLARP,9600,1,dormitorio
705,KALLVIKEN,136000,4,dormitorio
706,KALLVIKEN,108000,1,dormitorio
707,KALLVIKEN,76000,2,dormitorio
708,BROR,424000,5,dormitorio
709,IVAR,31200,4,dormitorio
71,HEMNES,1196000,3,dormitorio
710,MOSSARYD,23200,1,dormitorio
711,EKET,16000,4,dormitorio
712,BROR,536000,4,dormitorio
713,VITTSJÖ,632000,1,dormitorio
714,BESTÅ,180000,1,dormitorio
715,ALGOT,163200,5,dormitorio
716,EKET,60000,2,dormitorio
717,OXBERG,64000,2,dormitorio
718,SVALNÄS,248000,3,dormitorio
719,BROR,72000,5,dormitorio
72,NESTTUN,476000,4,dormitorio
720,KLIMPEN,276000,3,dormitorio
721,HANVIKEN,60000,2,dormitorio
722,STALLARP,36000,3,dormitorio
723,KALLRÖR,36000,2,dormitorio
724,BESTÅ,156000,5,dormitorio
725,HAVSTA,436000,1,dormitorio
726,SVALNÄS,328000,1,dormitorio
727,BROR,1052000,3,dormitorio
728,SINDVIK,80000,1,dormitorio
729,HYLLIS,112800,1,dormitorio
73,TYSSEDAL,1116000,4,dormitorio
730,ALGOT,16000,4,dormitorio
731,BROR,300000,5,dormitorio
732,GLASSVIK,156000,1,dormitorio
733,TIMMERVIKEN,48000,3,dormitorio
734,BESTÅ,2108000,3,dormitorio
735,STOCKVIKEN,168000,3,dormitorio
736,BESTÅ,384000,1,dormitorio
737,ALGOT / SKÅDIS,478400,5,dormitorio
738,BROR,72000,5,dormitorio
739,SVALNÄS,1116000,1,dormitorio
74,MALM,536000,1,dormitorio
740,BILLY / MORLIDEN,476000,1,dormitorio
741,IVAR,292000,3,dormitorio
742,GALANT,316000,2,dormitorio
743,EKET,1008000,3,dormitorio
744,BROR,1076000,1,dormitorio
745,BESTÅ,972000,5,dormitorio
746,IVAR,362400,5,dormitorio
747,IVAR,196000,2,dormitorio
748,IVAR,1820000,3,dormitorio
749,HANVIKEN,80000,3,dormitorio
75,MALM,356000,5,dormitorio
750,VASSVIKEN,60000,1,dormitorio
751,BILLY / MORLIDEN,1416000,2,dormitorio
752,ALGOT,277600,2,dormitorio
753,BROR,1072000,3,dormitorio
754,IVAR,836000,4,dormitorio
755,IVAR,1396000,5,dormitorio
756,SKÄRHAMN,23200,5,dormitorio
757,IVAR,116000,3,dormitorio
758,BOTTNA,52000,2,dormitorio
759,IVAR,836000,5,dormitorio
76,SLÄKT,796000,4,dormitorio
760,IVAR,342400,2,dormitorio
761,JONAXEL,536000,3,dormitorio
762,IVAR,1584000,1,dormitorio
763,UPPLEVA,116000,3,dormitorio
764,NOTVIKEN,92000,3,dormitorio
765,IVAR,792000,5,dormitorio
766,IVAR,574400,4,dormitorio
767,IVAR,316000,5,dormitorio
768,HISHULT,28000,3,dormitorio
769,ORRNÄS,23200,1,dormitorio
77,RIDABU,80000,5,dormitorio
770,BILLSBRO,28000,4,dormitorio
771,IVAR,724800,4,dormitorio
772,RIKSVIKEN,180000,3,dormitorio
773,KALLAX,80000,4,dormitorio
774,KALLRÖR,28000,1,dormitorio
775,IVAR,608000,4,dormitorio
776,IVAR,352000,2,dormitorio
777,SVALNÄS,996000,1,dormitorio
778,JONAXEL,448000,5,dormitorio
